cluster,data_hora,vento
cluster_NE_1,2016-06-01,7.67978633692038
cluster_NE_1,2016-07-01,8.6964511948563
cluster_NE_1,2016-08-01,9.04373894448474
cluster_NE_1,2016-09-01,9.29002270254663
cluster_NE_1,2016-10-01,9.2214313453678
cluster_NE_1,2016-11-01,8.93563228743343
cluster_NE_1,2016-12-01,7.82022451931676
cluster_NE_1,2017-01-01,7.19806457602281
cluster_NE_1,2017-02-01,6.42324633651244
cluster_NE_1,2017-03-01,5.43101258756782
cluster_NE_1,2017-04-01,6.13345047998882
cluster_NE_1,2017-05-01,6.40289508070314
cluster_NE_1,2017-06-01,7.49618151331532
cluster_NE_1,2017-07-01,8.09758692997744
cluster_NE_1,2017-08-01,8.72300609087298
cluster_NE_1,2017-09-01,9.63440843722394
cluster_NE_1,2017-10-01,9.33119382571691
cluster_NE_1,2017-11-01,8.4690021094115
cluster_NE_1,2017-12-01,7.5944331705182
cluster_NE_1,2018-01-01,6.80024917536089
cluster_NE_1,2018-02-01,5.02395138614732
cluster_NE_1,2018-03-01,5.42341284415181
cluster_NE_1,2018-04-01,5.12372614153566
cluster_NE_1,2018-05-01,6.3561924979714
cluster_NE_1,2018-06-01,7.69338823717341
cluster_NE_1,2018-07-01,8.18438038578783
cluster_NE_1,2018-08-01,8.70511658532447
cluster_NE_1,2018-09-01,9.33188635611261
cluster_NE_1,2018-10-01,8.31740627340823
cluster_NE_1,2018-11-01,8.56488408746014
cluster_NE_1,2018-12-01,6.84735066561438
cluster_NE_1,2019-01-01,6.50394984753332
cluster_NE_1,2019-02-01,5.14305172387965
cluster_NE_1,2019-03-01,4.46237541164637
cluster_NE_1,2019-04-01,4.92747998286545
cluster_NE_1,2019-05-01,6.36208657227913
cluster_NE_1,2019-06-01,7.48122311225683
cluster_NE_1,2019-07-01,7.6507338686275
cluster_NE_1,2019-08-01,9.00610730355446
cluster_NE_1,2019-09-01,9.14229059860094
cluster_NE_1,2019-10-01,8.81436924793261
cluster_NE_1,2019-11-01,8.18501493678543
cluster_NE_1,2019-12-01,7.75342852479957
cluster_NE_1,2020-01-01,5.70560831783462
cluster_NE_1,2020-02-01,5.33506153045962
cluster_NE_1,2020-03-01,3.944364721945
cluster_NE_1,2020-04-01,5.22610625909753
cluster_NE_1,2020-05-01,6.14076456903784
cluster_NE_1,2020-06-01,7.06909021921693
cluster_NE_1,2020-07-01,7.9392477229696
cluster_NE_1,2020-08-01,9.05544238665474
cluster_NE_1,2020-09-01,9.10018770314204
cluster_NE_1,2020-10-01,8.20544895059617
cluster_NE_1,2020-11-01,8.10011889938514
cluster_NE_1,2020-12-01,8.25455062429316
cluster_NE_1,2021-01-01,7.37554598422656
cluster_NE_1,2021-02-01,6.52246464178798
cluster_NE_1,2021-03-01,5.82837034379149
cluster_NE_1,2021-04-01,6.24923264578415
cluster_NE_1,2021-05-01,6.28546673075586
cluster_NE_1,2021-06-01,6.87207832156956
cluster_NE_1,2021-07-01,7.8616229379653
cluster_NE_1,2021-08-01,8.95372781568914
cluster_NE_1,2021-09-01,8.77901103802121
cluster_NE_1,2021-10-01,8.27837713834241
cluster_NE_1,2021-11-01,7.64147134499276
cluster_NE_1,2021-12-01,7.52390371621701
cluster_NE_2,1979-01-01,4.10457712000525
cluster_NE_2,1979-02-01,4.23443620704172
cluster_NE_2,1979-03-01,4.55401128355177
cluster_NE_2,1979-04-01,5.35526986825523
cluster_NE_2,1979-05-01,6.80647519631603
cluster_NE_2,1979-06-01,8.58560250286185
cluster_NE_2,1979-07-01,8.31760374423088
cluster_NE_2,1979-08-01,7.95617901851582
cluster_NE_2,1979-09-01,8.04983899725414
cluster_NE_2,1979-10-01,6.84369768561964
cluster_NE_2,1979-11-01,5.19961881541988
cluster_NE_2,1979-12-01,4.26462930586408
cluster_NE_2,1980-01-01,4.1495788575803
cluster_NE_2,1980-02-01,4.01034759857886
cluster_NE_2,1980-03-01,6.66844282081754
cluster_NE_2,1980-04-01,6.39982626323513
cluster_NE_2,1980-05-01,7.75924325993903
cluster_NE_2,1980-06-01,7.937162159499
cluster_NE_2,1980-07-01,8.30552082565029
cluster_NE_2,1980-08-01,8.52992980273917
cluster_NE_2,1980-09-01,7.38106427254411
cluster_NE_2,1980-10-01,7.60623123227568
cluster_NE_2,1980-11-01,4.92605335618823
cluster_NE_2,1980-12-01,4.38366728551871
cluster_NE_2,1981-01-01,4.66648192405261
cluster_NE_2,1981-02-01,7.025671607607
cluster_NE_2,1981-03-01,3.90681676357067
cluster_NE_2,1981-04-01,6.33529584266362
cluster_NE_2,1981-05-01,7.71299301270559
cluster_NE_2,1981-06-01,7.82838150405287
cluster_NE_2,1981-07-01,8.66057886239157
cluster_NE_2,1981-08-01,8.22888617592948
cluster_NE_2,1981-09-01,8.32661312714196
cluster_NE_2,1981-10-01,6.04702038039641
cluster_NE_2,1981-11-01,5.01824783012449
cluster_NE_2,1981-12-01,6.16487781747333
cluster_NE_2,1982-01-01,4.0406254602577
cluster_NE_2,1982-02-01,5.30950471424066
cluster_NE_2,1982-03-01,3.17561167823839
cluster_NE_2,1982-04-01,5.67939430812696
cluster_NE_2,1982-05-01,7.82641263015249
cluster_NE_2,1982-06-01,7.88978024773412
cluster_NE_2,1982-07-01,8.08424569473413
cluster_NE_2,1982-08-01,8.29372472900426
cluster_NE_2,1982-09-01,7.79016128199732
cluster_NE_2,1982-10-01,6.14828829263657
cluster_NE_2,1982-11-01,6.05072856002311
cluster_NE_2,1982-12-01,5.84175470195578
cluster_NE_2,1983-01-01,4.45344562678195
cluster_NE_2,1983-02-01,5.43293852036788
cluster_NE_2,1983-03-01,5.5348062055269
cluster_NE_2,1983-04-01,6.81178590369526
cluster_NE_2,1983-05-01,7.23130305943438
cluster_NE_2,1983-06-01,7.81968933169672
cluster_NE_2,1983-07-01,7.82611188802187
cluster_NE_2,1983-08-01,8.35447213454623
cluster_NE_2,1983-09-01,7.58738858754404
cluster_NE_2,1983-10-01,7.31939474294668
cluster_NE_2,1983-11-01,5.13133948770182
cluster_NE_2,1983-12-01,4.5516314676325
cluster_NE_2,1984-01-01,3.97345838620946
cluster_NE_2,1984-02-01,4.06339029730846
cluster_NE_2,1984-03-01,3.07175082371913
cluster_NE_2,1984-04-01,5.0226678000696
cluster_NE_2,1984-05-01,6.78519967174461
